Instituto Humanidades Luis Campino;Metropolitana;Providencia;Av. Pedro de Valdivia 290;-;Centro de acopio;Varios;10:00 a 19:00;hasta el Martes 31 de Enero;-;-;-70.611384;-33.426093;Grupo Scout IHLC;Sebastián Araos
Direccion de Desarrollo Comunitario. DIDECO;Valparaíso;La Calera;Gonzalo Lizaoin 405;-;Centro de acopio;Varios;-;-;-;-;-71.187168;-32.786541;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Centro Comunitario Carol Urzua;Metropolitana;Santiago Centro;Av. Santa Rosa 1727;-;Centro de acopio;Varios;-;-;-;-;-70.642913;-33.468084;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Gimnasio J. Manuel Lopez;Metropolitana;La Pintana;Santa Elena 1675;-;Centro de acopio;Varios;-;-;-;-;-70.658611;-33.567063;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
FECH;Metropolitana;Santiago Centro;Periodista Jose Carrasco Tapia 75;-;Centro de acopio;Varios;-;-;-;-;-70.636543;-33.441232;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Barrio Meiggs;Metropolitana;Santiago Centro;Av. Alameda Metro Est. Central;-;Centro de acopio;Varios;hasta las 20:00;lu a vi;-;-;-70.680195;-33.451170;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Mall Sport;Metropolitana;Lo Barnechea;Av. Las Condes 13455;-;Centro de acopio;Agua;hasta las 17:00:00;hasta el domingo;-;-;-70.506876;-33.371070;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Municipalidad de Vitacura;Metropolitana;Vitacura;Bicentenario 3800;-;Centro de acopio;Varios;-;-;22240 2200;-;-70.601297;-33.398561;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
18a Compañía de Bomberos;Metropolitana;Vitacura;Geronimo de Alderete 1218;-;Centro de acopio;Varios;-;-;-;-;-70.562912;-33.392214;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Colegio Maisonette;Metropolitana;Vitacura;Av. Luis Pasteur 6076;-;Centro de acopio;Varios;9:00 a 17:00;lu a vi;-;-;-70.575850;-33.386086;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Vitavecino;Metropolitana;Vitacura;Av. San Felix 1318;-;Centro de acopio;Varios;9:00 a 17:00;lu a vi;-;-;-70.560048;-33.390189;www.biobiochile.cl;Juan Romero Geógrafo y Cartógrafo de la UTEM. Trabaja en Mundo Zenit
Centro de Acopio;Biobio;Concepción;Ejercito esq Tucapel;-;Centro de acopio;Alimento para mascotas perros y gatos;-;-;-;-;-73.054729;-36.811313;www.biobiochile.cl;Rosita Edwards Geógrafa estudiante de Geografía de la U. de Chile Santiago
Cuerpo de Bomberos de Castro;Los Lagos;Castro;Libertador Bernardo O'Higgins 376;-;Centro de acopio;-;-;-;-;-;-72.042322;-45.582532;-;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Primera Compañía de Bomberos de Coyhaique;Aysén;Coyhaique;General Parra 365;-;Centro de Acopio;Varios;-;-;-;-;-72.069929;-45.569755;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Segunda Compañía de Bomberos de Coyhaique;Aysén;Coyhaique;Magallanes 665;-;Centro de Acopio;Varios;-;-;-;-;-72.076229;-45.575074;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Tercera Compañía de Bomberos de Coyhaique;Aysén;Coyhaique;Las Quintas con Los Coigües;-;Centro de Acopio;Varios;Desde las 19 horas;-;222402200;-;-72.060823;-45.580732;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Cuarta Compañía de Bomberos de Coyhaique;Aysén;Coyhaique;Oscar del Río con Las Pizarras;-;Centro de Acopio;Varios;-;-;-;-;-72.042321;-45.582532;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Club la Perla del Estrecho;Magallanes;Punta Arenas;Emilio Korner 1098;-;Centro de Acopio;Varios;Jueves De 10 a 21 horas;-;-;-;-70.903255;-53.164309;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Espacio Cultural La Idea;Magallanes;Punta Arenas;Mejicana 252;-;Centro de Acopio;Varios;Jueves y Viernes Desde 21 horas;-;-;-;-70.913642;-53.155481;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Sin Nombre;Magallanes;Punta Arenas;Avenida Cristobal Colon con Gobernardor Carlos Bories;-;Centro de Acopio;Varios;Viernes De 10 a 20 horas;-;-;-;-70.906122;-53.159842;www.radiovillafrancia.cl;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Centro Comunitario Carol Urzua;Metropolitana;Santiago Centro;Av. Sta. Rosa 1727;-;Centro de Acopio;Varios;10:00 a 20:00 horas;-;-;-;-70.644663;-33.468148;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Gimnasio Manuel López;Metropolitana;Santiago Centro;Santa Elena 1675;-;Centro de Acopio;Varios;10:00 a 20:00 horas;-;-;-;-70.630669;-33.466004;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Plaza Yungay;Metropolitana;Santiago Centro;Rosas con Libertad;-;Centro de Acopio;Varios;10:00 a 19:00 horas;-;-;-;-70.676184;-33.437442;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Barrio Matadero;Metropolitana;Santiago Centro;Franklin 840 puerta 5;-;Centro de Acopio;Varios;10:00 a 19:00 horas;-;-;-;-70.646555;-33.473041;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Barrio Meiggs;Metropolitana;Santiago Centro;Meiggs esquina Salvador Sanfuentes;-;Centro de Acopio;Varios;10:00 a 19:00 horas;-;-;-;-70.678039;-33.451653;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Plaza de Bolsillo Santo Domingo;Metropolitana;Santiago Centro;Teatinos con Santo Domingo;-;Centro de Acopio;Varios;15:00 a 20:00 horas;-;-;-;-70.655574;-33.436709;http://www.biobiochile.cl/noticias/nacional/region-metropolitana/2017/01/23/municipio-de-santiago-implementa-6-centros-de-acopio-para-ayudar-a-afectados-por-incendios.shtml;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Veterinaria Mundo Animal;Metropolitana;Pudahuel;Av. Laguna Sur 7001;-;Centro de Acopio;Comida de Animales;-;-;569 92579917;22 7479196;-70.735160;-33.461490;http://oasisfm.cl/oasisfm/noticias/centros-de-acopio-de-ayuda-para-los-animales-afectados-por-los-incendios/2017-01-26/103606.html;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Juventudes Comunistas;Metropolitana;Recoleta;Avenida Recoleta 2498;-;Centro de Acopio;Varios;-;-;-;-;-70.643138;-33.404242;https://www.cooperativa.cl/noticias/pais/desastres-naturales/incendios-forestales/centros-de-acopio-para-ayudar-a-los-damnificados-de-los-incendios/2017-01-26/155949.html;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Sede Orca Chile;Metropolitana;Ñuñoa;Alcalde Jorge Monckeberg 595;-;Centro de Acopio;Varios;-;-;-;-;-70.584523;-33.460052;https://www.cooperativa.cl/noticias/pais/desastres-naturales/incendios-forestales/centros-de-acopio-para-ayudar-a-los-damnificados-de-los-incendios/2017-01-26/155949.html;Karen Castillo Geógrafa de la UPLA. Trabaja en el INE Santiago
Cesfam Doctor Rene Tapia. Av Galvarino Riveros 931;Los Lagos;Castro;Galvarino Riveros N° 939;-;Centro de acopio;-;08:00 a 16:48;Lunes a viernes;652537601;-;-73.762134;-42.479806;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cesfam Quillahue Población Salvador Allende;Los Lagos;Castro;Galvarino Riveros Norte N° 2719;-;Centro de acopio;-;08:00 a 16:48;Lunes a viernes;652773080;-;-73.792918;-42.460746;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cecosf de Llau -Llao. Arturo Prat 218. Villa Llau-Llao;Los Lagos;Castro;Arturo Prat N° 218;-;Centro de acopio;-;08:00 a 16:48;Lunes a viernes;652531744;-;-73.766698;-42.466726;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cecosf Kintunien Ines de Bazán esquina López de garcia y Nueva Galicia;Los Lagos;Castro;Inés de Bazán esquina Lope de García;-;Centro de acopio;-;08:00 a 16:48;Lunes a viernes;652537081;-;-73.777931;-42.464416;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cecosf Rilán Rilán;Los Lagos;Castro;Av. 18 de septiembre N°8;-;Centro de acopio;-;08:00 a 16:48;Lunes a viernes;cel- 75887827;-;-73.627921;-42.520813;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cuartel de bomberos;Los Lagos;Castro;O´higgins 308;-;Centro de acopio;-;-;-;63222222;-;-73.765380;-42.482837;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cuartel de bomberos Avenida Mocopulli 25;Los Lagos;Dalcahue;Avenida Mocopulli 25;-;Centro de acopio;-;-;-;2641315;-;-73.648307;-42.379449;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cuartel de Bomberos;Los Lagos;Quellon;Ramon Freire 217;-;Centro de acopio;-;-;-;2682333;-;-73.616932;-43.120170;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
Cuartel de Bomberos Chacao;Los Lagos;Ancud;Bellavista 145;-;Centro de acopio;-;-;-;696323;-;-73.525785;-41.828682;www.biobiochile.cl;María José Labarca  Geógrafa de la U. de Chile es de Santiago.
